"logitHopeless","laggedvol","npshareofm","magnitude","experience","elec_sys","compensatory","federal","presidential","eth_ling85","CountryDistrict","country","logitSF","wastage","enplosing","logitWastage","experience2"
-1.69096748549148,0.604921638965607,7,1,5,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 7","Hungary",-1.13904117574636,0.37921604514122,4.25449228286743,-0.492877040002707,5
-2.03538312220945,0.189608037471771,2,1,6,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 7","Hungary",-1.20128218439326,0.379272699356079,1.99380874633789,-0.492636386373502,6
-2.2504217182556,0.311001479625702,2,1,5,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 8","Hungary",-1.22953218671154,0.516561686992645,1,0.0662709916464539,5
-4.41539252753718,0.302784204483032,2,1,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 8","Hungary",-3.6976391537796,0.505910277366638,1,0.0236422106475968,7
-1.66635794276051,0.277669697999954,8,1,6,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 9","Hungary",-1.69669434368845,0.469526916742325,4.90896797180176,-0.122043590667421,6
-3.27451337061294,0.344691723585129,1,1,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBorsod-Abauj-Zemplen 9","Hungary",-3.37232386574655,0.459377646446228,2.96082305908203,-0.162848351591622,7
-2.44045595285436,0.309445768594742,0.0416666679084301,24,5,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest","Hungary",2.93769192691299,0.118737481534481,2.77068781852722,-2.00444054067572,5
-2.47131444134586,0.321243077516556,0.119999997317791,25,6,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest","Hungary",1.53348437012908,0.147472456097603,1.68298840522766,-1.75456409817789,6
-5.07321801749579,0.297702044248581,0.111111111938953,27,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest","Hungary",-1.2984205368178,0.03524549305439,1,-3.30953600755616,7
-3.7456060074856,0.310010850429535,2,1,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest 1","Hungary",-2.95399418006042,0.488810151815414,1,-0.0447668675774366,7
-1.3292291684514,0.263087183237076,5,1,6,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest 13","Hungary",-0.794988225919521,0.470609903335571,3.39676976203918,-0.117696062767974,6
-1.90413657764577,0.235304951667786,2,1,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest 13","Hungary",-1.18931535988264,0.441851913928986,2.20932555198669,-0.233649524815672,7
-2.07355350751638,0.271399557590485,4,1,7,"MM",TRUE,0,0,0.00999999977648258,"HungaryBudapest 14","Hungary",-1.47884157485996,0.468474268913269,2.15491557121277,-0.126270430921457,7
